country_of_origin,region,altitude,company
"Tanzania, United Republic Of",arusha,1700,mondul coffee estate
Mexico,veracruz,1100,"café andrade, s.a. de c.v."
Costa Rica,central valley,1100-1300,coricafe s.a.
Peru,,,sustainable harvest
Haiti,"thiotte, haiti",4200 feet,itiah coffee llc.
Colombia,pitalito,1000 msnm,carcafe ltda
Burundi,kayanza,1880,the specialty coffee appraisers institute of asia
Mexico,sierra madre occidental,1600,cafe de don balbino s.c. de r.l. de c.v.
Costa Rica,tarrazu,,panamerican coffee trading
Guatemala,nuevo oriente,2100,mercon guatemala s.a.
Uganda,"sipi, mt elgon",,kawacom uganda ltd
Brazil,campos altos - cerrado,,bourbon specialty coffees
Mexico,cuarenteño,1261,productos y servicios chilindron s.a. de c.v.
Taiwan,南投國姓,800公尺,宸嶧國際
Colombia,eje cafetero,1483,ecom cca sa
Mexico,chiapas,1300,"finca triunfo verde, s.c."
Mexico,veracruz,,finca teocelo
Mexico,fortín de las flores,1000,
Brazil,grama valley,1200m,nucoffee
Colombia,huila,175,exportadora de cafe condor s.a
Colombia,la plata,de 1600 a 1950 msnm,c.i.racafe & cia s.c.a
Colombia,huila,1600-1800msnm,
Colombia,cauca,1880 msnm,
Colombia,cundinamarca,1800 m.s.n.m,
Guatemala,oriente,1901,"unex guatemala, s.a."
"Tanzania, United Republic Of",moshi,16.8,volcafe/taylorwinch tanzania ltd
Peru,,,prodlesur sa
Vietnam,dala,1550,"sunvirtue co., ltd."
Honduras,marcala,1450,cadexsa
China,yunnan,1200,yunnan coffee exchange
China,dehong prefecture,1600,yunnan coffee exchange
El Salvador,apaneca,1350,consejo salvadoreño del café
Guatemala,antigua,1500msnm,"siembras vision, s.a."
Guatemala,oriente,1400-1900 psn,"unex guatemala, s.a."
Kenya,kenya,approx.1'500 metres a.s.l.,taylor winch (coffee) ltd
"Tanzania, United Republic Of",mbinga,1653,tutunze kahawa ltd
Uganda,eastern,1800,kabum trading company
Colombia,,,green mountain coffee
Honduras,san marcos,1450 msnn,"olam honduras, s.a."
Guatemala,san marcos,5000 pies,"agricola nueva granada, s.a."
"Tanzania, United Republic Of",kilimanjaro,1800,taylor winch (t) ltd
Mexico,chiapas,1500,cesmach s.c.
Mexico,"tlanchinol, hidalgo",532,
Mexico,san bartolo tutotepec,1089,
Mexico,san isidro,700,
Mexico,la concordia,1380,ecomtrading
Brazil,south of minas,1000m,nucoffee
Brazil,mogiana,950m,nucoffee
Brazil,south of minas,900m,
Brazil,south of minas,905,ipanema coffees
Taiwan,"dongshan dist., tainan city 臺南市東山區",700-800m,taiwan coffee laboratory
Brazil,chapadão de ferro (cerrado mineiro),,bourbon specialty coffees
Taiwan,chiayi alishan 嘉義縣阿里山鄉,1300 m,blossom valley宸嶧國際
Mexico,santa catarina juquila,1400,finca las nubes
United States (Hawaii),kona,,cqi
Indonesia,dolok sanggul,1300-1400m,
Brazil,south of minas,894,ipanema coffees
Brazil,south of minas,872,ipanema coffees
Uganda,"kasese, mt. rwenzori",1473,ucfa
Uganda,"kasese, mt. rwenzori",1645,ucfa
Vietnam,vietnam cau dat,1550,"sunvirtue co., ltd."
Guatemala,nuevo oriente,1300 a 1800 metros sobre el nivel del mar,mercon guatemala s.a.
Guatemala,"el tumbador, san marcos",4500 pies,"agricola nueva granada, s.a."
Brazil,high mogiana,900-1100,atlantica eportacao e importcao ltda
Taiwan,嘉義阿里山,1200,宸嶧國際
Uganda,kapchorwa,1800,star cafe ltd
Brazil,sul de minas,1250,exportadora de cafés carmo de minas ltda
Colombia,huila,1600 - 1950 msnm,racafe & cia s.c.a
Mexico,coatepec,750,
Mexico,atoyac de alvarez,1200,finca la estancia
Mexico,coatepec,1200,ecomtrading
Colombia,,,exportadora de cafe condor s.a
Colombia,huila,1500-1750 msnm,exportadora de cafe condor s.a
Guatemala,"la reforma, san marcos",4500,"nuevos mercados, s.a."
Colombia,la plata,1600 - 1950 msnm,c.i.racafe & cia s.c.a
Colombia,huila,1800 msnm,
Nicaragua,matagalpa,,
El Salvador,apaneca,1350,soc. coop. cuzcachapa de r.l.
Colombia,guayata,1500,racafe & cia s.c.a
Ethiopia,"blida,kercha,guji,oromia",2000,belayneh kindie
Taiwan,台東太麻里,775,宸嶧國際
Philippines,"bukidnon, mindanao, philppines",1200 masl,hineleban foundation
Philippines,asia pacific,1600 + meters above sea level,ephemera traders
Mexico,cuarenteño,1059,productos y servicios chilindron s.a. de c.v.
Mexico,chiapas,1300 meters,"tony's coffee and teas, inc."
Brazil,cerrado,11000 metros,expocaccer
Uganda,west nile,1400,nyapea coffee farmers association
Guatemala,,,thrive farmers
Guatemala,huehuetenango,5440-5760 metros,exportcafe
Colombia,antioquia,1450,olam international ltd
Mexico,petatlan,1248,
Vietnam,don duong,1040m,royal base corporation
Mexico,la cumbre,1400 m,union de ejidos san fernando de ri
Colombia,cauca,1050 - 1850 msnm,
El Salvador,"el balsamo, quezaltepec",1250,consejo salvadoreño del café
Rwanda,gicumbi,1900,bufcoffee ltd
Vietnam,vietnam tutra,1040,"sunvirtue co., ltd."
Guatemala,oriente,4000psn,"unex guatemala, s.a."
Brazil,cerrado,900,cafebras comercio de cafés do brasil sa
Colombia,huila,1200-2000m,essence coffee
United States,berastagi,1200 m,olam specialty coffee
Colombia,santander,1800 mts,"coffeebythebag.com , inc."
"Tanzania, United Republic Of",arusha,1400 meter above sea level,tcb
Mexico,la concordia,1550,beneficio custepec s.a. de c.v.
Mexico,veracruz,1250,ecomtrading
Guatemala,santa rosa,1800,mercon guatemala s.a.
