country_of_origin,region,altitude,company
Costa Rica,occidental,1200 msm,santa laura exportadora de cafe s.l.e.c. s.a.
Costa Rica,tarrazu,1300,beneficios volcafé costa rica
Costa Rica,central valley,1100-1300,coricafe s.a.
Costa Rica,naranjo,1500 mts,the coffee source inc.
Costa Rica,tarrazu,1700,coopetarrazú.r.l
Costa Rica,tarrazu,1850,"ceca,s.a."
Costa Rica,tarrazu,1750,coopetarrazú.r.l
Costa Rica,tarrazu,1150,panamerican coffee trading
Cote d?Ivoire,cnra station of divo,200,royal 1750 coffee
Ecuador,"san juan, playas",,robustasa
Ecuador,"province of manabi, ecuador",800 meters above sea level,sultana del cafe inc.
Ecuador,"san juan, playas",40,robustasa
El Salvador,cacahuatique,1250,soc. coop. de caf. de ciudad barrios de r.l.
El Salvador,apaneca,1500,consejo salvadoreño del café
El Salvador,"el balsamo, quezaltepec",1200,consejo salvadoreño del café
El Salvador,apaneca,1500 meters,atlantic specialty coffee
El Salvador,"ataco, apaneca - ilamatepec mountain range",1300~1400 m.s.l,lusso coffee lab
El Salvador,apaneca,1350,soc. coop. cuzcachapa de r.l.
El Salvador,apaneca,1350,cafetalera del pacifico
El Salvador,apaneca,1400 m,
El Salvador,apaneca,1330,consejo salvadoreño del café
El Salvador,apaneca,1350,consejo salvadoreño del café
El Salvador,apaneca,1450,soc. coop. cuzcachapa de r.l.
El Salvador,"department of ahuachapan, municipality of apanecallamatepec mountain",1450m,lusso coffee lab
El Salvador,"el balsamo, quezaltepec",1250,consejo salvadoreño del café
El Salvador,,,atlantic specialty coffee
El Salvador,cacahuatique,1250,consejo salvadoreño del café
El Salvador,santa ana,1200 mts,
Ethiopia,oromia,1600 on average,debesa agro industry plc
Ethiopia,"blida,kercha,guji,oromia",2000,belayneh kindie
Ethiopia,yirgacheffe,1700-2000m,essence coffee
Ethiopia,kelem welega,,
Ethiopia,sidamo,0,kerchanshe trading plc
Ethiopia,guji-hambela,1950-2200,metad agricultural developmet plc
Ethiopia,gedio,1700-2000m,essence coffee
Ethiopia,oromia,1800-2000,assefa belay coffee producer
Ethiopia,limu,,
Ethiopia,sidamo,,
Ethiopia,aricha,1700,the specialty coffee appraisers institute of asia
Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",,seid damtew coffee planation
Ethiopia,sidamo,1800,kyagalanyi coffee ltd
Ethiopia,yirgacheffe,,
Ethiopia,oromia,1855-1955,fahem coffee plantation
Ethiopia,"snnp/kaffa zone,gimbowereda",1795-1850,diamond enterprise plc
Ethiopia,addis ababa,,seid damtew coffee planation
Ethiopia,oromiya,1570-1700,
Ethiopia,sidamo,1500-2000 m,
Ethiopia,oromia,1570-1700,
Ethiopia,"ethiopia, sidamo",1800m,the specialty coffee appraisers institute of asia
Ethiopia,snnprg; kafa; telo woreda; shada kebele,1545-1668 masl,asefa dukamo coffee plantetion
Ethiopia,oromia,1750-1800,haider abamecha coffee export
Ethiopia,sidamo,1550 m,lusso coffee lab
Ethiopia,oromia,1800-2000,ibrahim hussien specality coffee product & exporter
Ethiopia,oromia,1650-1703,yasmin coffee plantation plc
Ethiopia,oromia,1800-2200,yidnekachew debessa coffee plantation
Ethiopia,yirgacheffe,1900m,essence coffee
Guatemala,huehuetenango,1770,essence coffee
Guatemala,antigua,1500,"siembras vision, s.a."
Guatemala,oriente,,"unex guatemala, s.a."
Guatemala,santa rosa,,asociación nacional del café - anacafe -
Guatemala,oriente,,"waelti schoenfeld exportadores de cafe, s.a."
Guatemala,oriente,1901,"unex guatemala, s.a."
Guatemala,"san lucas toliman, solola",1550,"finca santo tomas pachuj, guatemala"
Guatemala,huehuetenango,5600-5760 metros,exportcafe
Guatemala,oriente,4000 psnm,"unex guatemala, s.a."
Guatemala,huehuetenango,5500 metros,exportcafe
Guatemala,jalapa,5500-6000 psnm,finca el morito
Guatemala,nuevo oriente,1450,mercon guatemala s.a.
Guatemala,antigua,4563,"siembras vision, s.a. / ing. jorge bolaños"
Guatemala,nuevo oriente,4650,unicafe
Guatemala,atitlan,1500,essence coffee
Guatemala,san marcos,1700,"unex guatemala, s.a."
Guatemala,oriente,4000,outspan guatemala s.a.
Guatemala,nuevo oriente,2100,mercon guatemala s.a.
Guatemala,huehuetenango,3607,exportcafe
Guatemala,antigua,1500msnm,"siembras vision, s.a."
Guatemala,san marcos,5000 pies,"agricola nueva granada, s.a."
Guatemala,,,s&d coffee and tea
Guatemala,oriente,4000 p.s.n.m.,"unex guatemala, s.a."
Guatemala,jalapa,5000 ft.,"armajaro guatemala, s. a."
Guatemala,"el tumbador, san marcos",4500 pies,"agricola nueva granada, s.a."
Guatemala,nuevo oriente,1300 a 1800 metros sobre el nivel del mar,mercon guatemala s.a.
Guatemala,oriente,,eduardo ambrocio
Guatemala,oriente,4300,"unex guatemala, s.a."
Guatemala,"el tumbador, san marcos",,"transcafe, s.a"
Guatemala,oriente,,asociación nacional del café - anacafe -
Guatemala,,,thrive farmers
Guatemala,huehuetenango,5440-5760 metros,exportcafe
